ID,Year_Birth,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntOtherProds,NumStorePurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp1,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5
1966,1965,0,0,8/02/2022,15732,2300,18423,483,1518,0,3,14,12,18,10,0,0,0,0,1
6864,1989,0,0,8/08/2022,184,92,230,46,46,92,6,35,6,0,3,0,0,0,0,0
7373,1952,0,2,15/01/2021,2208,276,2208,759,506,989,18,42,8,2,6,0,0,0,0,0
8755,1946,0,0,9/05/2021,11086,782,10833,2737,1564,506,3,49,6,10,9,0,0,0,0,0
10738,1951,1,1,15/11/2021,920,0,437,46,23,69,3,49,4,0,3,0,0,0,0,0
4339,1970,0,1,19/03/2022,16146,391,3473,0,184,805,15,14,10,12,12,0,0,0,0,0
10755,1976,1,0,19/11/2021,138,69,322,345,161,828,9,49,6,2,2,0,0,0,0,0
8595,1973,0,1,30/04/2022,1265,0,138,46,0,92,6,35,2,2,3,0,0,0,0,0
2968,1943,0,0,20/04/2021,10051,184,4738,3680,1127,966,6,42,14,20,5,0,0,1,0,0
8601,1980,0,1,16/07/2021,9683,1748,12328,1886,4094,2346,6,28,16,12,5,0,0,0,0,0
503,1985,1,0,29/05/2021,299,23,667,69,0,161,6,56,4,0,3,0,0,0,0,0
2139,1975,1,0,19/12/2021,69,23,230,69,46,276,9,35,4,0,3,0,0,0,0,0
1371,1976,0,0,14/09/2022,2829,3772,6118,5221,690,4002,3,7,4,8,9,0,0,0,0,0
9909,1996,0,0,26/01/2021,69,414,322,345,506,1150,9,63,6,2,3,0,0,0,0,0
6566,1954,1,1,25/01/2021,18998,1150,7291,1150,874,874,27,56,10,4,12,0,0,0,0,0
8614,1957,0,1,29/07/2022,5635,437,2875,851,1541,322,3,14,8,4,10,0,0,0,0,0
4114,1964,0,0,28/10/2020,14950,851,17940,621,3841,736,3,21,12,18,13,0,0,0,0,0
1331,1977,1,0,21/03/2021,276,138,460,690,23,69,6,49,4,0,3,0,0,0,0,0
2225,1977,0,0,24/08/2022,11730,2760,12650,3588,920,5543,3,7,8,18,7,0,1,1,0,0
9381,1978,1,1,29/08/2021,7544,207,2852,276,552,2507,21,21,8,4,10,0,0,0,0,0
10383,1966,0,0,19/06/2021,6785,805,11086,2783,2760,920,3,21,10,10,10,0,0,0,0,0
7437,1988,1,0,15/07/2022,299,0,184,46,23,115,3,21,2,0,4,0,0,0,0,0
8375,1968,0,1,20/05/2022,10281,0,644,0,0,989,9,49,16,4,6,0,0,0,0,0
6853,1982,0,0,20/09/2021,16376,598,12374,1587,299,1840,3,7,6,12,11,0,0,0,1,1
1012,1952,0,1,7/05/2021,12029,161,3082,851,322,3887,12,49,16,4,10,0,0,0,0,0
6518,1951,0,1,28/08/2021,12558,0,1104,0,138,138,3,35,14,6,8,0,0,0,0,0
8082,1971,1,0,7/08/2021,23,69,138,69,138,345,3,49,2,2,2,0,0,0,0,0
9369,1979,0,1,5/06/2022,15824,322,7107,4623,552,874,3,35,22,20,10,0,1,1,0,0
1402,1954,0,0,28/11/2020,11408,828,10580,4347,1380,276,9,21,8,16,6,0,0,0,0,0
6312,1959,0,1,3/06/2021,5934,2461,6693,1932,851,1978,12,49,20,6,13,0,0,0,0,0
8132,1975,1,1,22/06/2021,12995,138,1495,0,138,437,15,49,18,4,8,0,0,0,1,0
1050,1952,0,0,17/07/2022,322,230,299,92,345,207,3,14,4,2,4,0,0,0,0,0
5846,1977,1,0,7/03/2021,46,23,138,46,23,23,3,42,2,0,2,0,0,0,0,0
1859,1972,0,0,13/11/2020,16583,2553,21275,2231,414,414,3,35,14,12,5,0,0,0,0,0
7503,1976,0,0,29/12/2020,23736,2415,17917,3151,2415,1173,0,28,10,16,9,0,0,1,0,0
3332,1985,1,0,15/11/2020,1472,92,1564,161,115,391,12,56,6,2,4,0,0,0,0,0
2261,1969,1,0,9/09/2021,92,23,115,46,0,92,3,49,2,0,2,0,0,0,0,0
5346,1973,1,0,19/09/2021,575,115,437,161,0,529,9,49,6,0,3,0,0,0,0,0
535,1987,0,0,14/05/2022,3749,529,9752,621,1495,1748,3,7,6,20,13,0,0,0,0,0
5268,1960,1,1,28/10/2021,391,184,322,230,92,69,6,49,2,0,4,0,0,0,0,0
273,1970,1,1,2/10/2021,2990,0,368,0,0,115,15,49,6,2,4,0,0,0,1,0
4452,1957,0,1,14/08/2022,6716,138,851,0,69,782,12,49,12,2,6,0,1,0,1,0
8504,1973,0,0,29/07/2022,8050,1380,13064,2530,3059,3335,3,14,10,12,7,0,0,0,0,1
11178,1972,1,0,9/06/2022,345,46,230,0,23,92,3,49,2,0,3,0,0,0,0,0
2230,1970,1,0,10/08/2022,621,46,322,0,0,0,9,35,6,2,3,0,0,0,0,0
7516,1983,1,0,8/08/2022,115,69,253,276,115,207,3,42,4,0,3,0,0,0,0,0
7247,1960,0,1,8/02/2021,11615,0,598,0,0,1725,15,42,14,8,6,0,0,0,1,0
11100,1972,1,1,28/06/2021,1173,46,161,0,23,46,6,49,4,0,3,0,0,0,0,0
4646,1951,0,0,17/02/2022,4761,598,10281,1725,0,5129,3,14,10,14,12,0,1,0,0,0
3037,1983,0,0,6/09/2021,3105,1058,2116,1495,1403,253,6,35,10,4,7,0,0,0,0,0
1473,1960,0,1,9/10/2021,1219,23,115,46,23,230,6,56,4,0,3,0,0,0,0,0
1016,1959,0,1,16/06/2022,943,23,138,46,0,115,6,42,4,0,3,0,0,0,0,0
9370,1945,0,0,3/08/2021,12926,1863,6348,1840,920,1863,3,28,12,6,6,0,0,0,0,0
8908,1959,0,0,25/07/2022,4991,1748,15870,1150,598,874,3,7,6,22,5,0,0,0,0,0
7533,1964,1,1,11/12/2021,3312,23,736,46,23,161,12,49,8,2,4,0,0,0,0,0
2683,1969,0,2,21/04/2021,6785,2438,6233,1725,2254,1495,12,42,12,8,12,0,0,0,0,0
3629,1978,1,0,7/03/2021,1748,69,713,92,92,621,6,49,6,2,3,0,0,0,0,0
10991,1960,0,0,23/02/2021,10442,4462,2438,713,506,989,3,14,10,8,4,0,0,0,0,0
7431,1991,0,0,27/01/2021,30636,391,7153,529,1173,1978,3,63,14,8,5,0,0,0,1,0
999,1991,0,0,21/03/2021,11270,1012,2875,667,460,506,3,21,12,14,11,0,0,0,1,1
9215,1980,1,0,28/02/2021,8694,0,2323,0,0,1656,15,49,12,8,6,0,0,0,0,0
2286,1962,1,1,27/11/2021,1472,23,483,0,23,621,6,42,4,2,3,0,0,0,0,0
1592,1970,0,0,12/04/2022,12581,2277,18676,3473,1886,759,0,7,8,12,5,0,1,0,0,1
367,1978,1,0,8/05/2021,1081,2070,2162,2829,2369,2760,15,63,18,2,5,0,0,0,0,0
6205,1967,1,0,13/05/2022,782,69,667,0,92,230,9,35,4,2,3,0,0,0,0,0
8442,1985,2,0,21/11/2021,207,0,161,69,92,161,6,49,2,0,3,0,0,0,0,0
7386,1976,1,0,9/07/2021,391,0,322,161,69,46,3,49,2,0,3,0,0,0,0,0
7215,1983,0,0,29/05/2021,16606,621,2346,1012,1656,3864,0,14,12,16,13,0,1,0,1,1
11071,1984,0,0,8/07/2021,10350,3059,21873,3979,0,4968,3,7,6,12,6,0,0,0,0,0
3381,1953,1,1,25/08/2022,1610,0,368,0,0,92,6,42,4,0,4,0,0,0,0,0
8026,1952,0,1,17/12/2021,2760,1334,1679,1495,2047,1334,15,35,10,8,5,0,0,0,0,0
433,1958,1,1,27/05/2021,12282,115,1081,0,115,943,15,56,22,2,6,0,0,0,0,0
9597,1969,0,0,29/04/2022,5428,2438,4347,529,943,2990,3,28,14,4,9,0,0,0,0,0
5290,1964,1,1,31/10/2021,5060,0,759,69,0,529,15,56,10,2,5,0,0,0,0,0
5342,1976,1,0,25/10/2020,0,23,69,230,138,207,6,56,2,0,3,0,0,0,0,0
9579,1959,2,1,23/09/2021,1219,23,782,46,0,368,9,56,4,4,2,0,0,0,0,0
7660,1973,1,1,5/08/2022,345,0,184,92,46,460,6,35,2,2,2,0,0,1,0,0
1461,1965,1,1,14/10/2021,391,23,276,69,23,92,6,49,4,0,3,0,0,0,0,0
821,1992,0,0,5/01/2021,22126,1403,21183,1196,1403,460,3,14,10,8,12,0,0,0,0,0
8690,1962,0,0,6/07/2021,9177,644,17388,828,920,2898,3,14,10,14,10,0,0,0,0,0
2937,1974,0,1,14/11/2021,14122,368,3036,989,759,759,9,42,16,10,9,0,0,0,0,0
9949,1976,0,2,4/01/2021,13754,368,3243,736,943,1127,9,56,6,6,6,0,0,0,0,0
10837,1975,1,0,14/01/2021,46,23,414,460,253,368,3,42,4,0,3,0,0,0,0,0
5885,1973,2,1,8/11/2020,1679,69,2070,276,23,736,21,56,8,2,4,0,0,0,0,0
4050,1966,0,0,7/09/2022,966,368,667,276,460,184,3,21,4,2,4,0,0,0,0,0
3830,1953,0,2,11/07/2022,6785,483,1794,897,299,299,3,21,8,8,7,0,0,0,0,0
7987,1969,0,1,24/05/2022,7958,391,1104,529,299,299,12,42,16,2,6,0,0,0,1,0
92,1988,1,0,29/07/2022,115,161,552,437,322,460,12,42,6,0,4,0,0,0,0,0
3025,1958,0,1,24/09/2021,4876,138,1587,92,276,69,9,49,12,2,5,0,0,0,0,0
9283,1978,1,2,29/11/2021,184,23,161,46,0,0,3,28,0,0,3,0,0,0,0,0
2730,1955,0,0,6/11/2021,12328,253,8901,3427,2093,1311,3,7,6,8,10,0,0,0,0,0
2795,1958,2,1,17/09/2021,115,0,69,0,0,115,3,49,2,0,2,0,0,0,0,0
9260,1945,0,0,22/01/2021,31027,368,5727,989,368,759,6,42,20,12,9,0,0,0,0,0
8182,1984,1,0,24/03/2022,1219,69,1127,161,92,115,12,56,6,0,4,0,0,0,0,0
10095,1975,0,0,18/07/2021,23023,276,5520,368,276,276,3,14,10,8,10,0,0,0,0,0
8475,1973,0,1,18/05/2022,460,46,36386,23,46,23,45,0,0,44,0,0,0,0,0,0
10573,1953,0,0,4/02/2022,2875,368,2254,3082,483,621,3,21,12,14,4,0,0,1,0,0
3712,1959,0,0,14/11/2021,4876,115,759,161,0,46,3,28,6,4,6,0,0,0,1,0
6637,1988,0,0,19/01/2022,6371,3726,7015,3979,1748,2852,3,7,6,8,7,0,0,0,0,0
6460,1982,1,0,29/09/2021,276,92,138,253,184,368,6,56,4,0,3,0,0,0,0,0
1349,1970,2,0,8/07/2022,1955,161,552,46,69,621,3,42,6,2,3,0,0,0,0,0
641,1967,0,1,21/06/2022,1357,0,276,0,0,1104,3,28,4,4,2,0,0,1,0,0
8717,1975,0,1,29/11/2020,26427,1633,10327,1587,1633,598,3,35,22,16,8,0,0,0,0,0
10314,1948,0,0,4/03/2021,19481,1518,2737,1978,2047,2553,3,28,18,20,5,0,1,0,1,0
10854,1970,1,1,9/08/2022,667,0,322,0,0,46,6,49,4,0,3,0,0,0,0,0
6935,1951,0,0,17/02/2022,4761,598,10281,1725,0,5129,3,14,10,14,12,0,1,0,0,0
7698,1976,0,1,28/07/2022,3496,69,506,46,115,161,3,35,8,2,4,0,0,0,0,0
3559,1988,1,0,27/07/2022,276,253,230,69,276,207,9,42,4,2,3,0,0,0,0,0
10562,1946,0,0,15/12/2021,14260,598,4485,782,391,3243,3,14,12,8,13,0,0,0,0,0
10796,1984,1,0,10/04/2022,1081,23,138,0,0,276,3,42,2,2,3,0,0,0,0,0
2563,1961,0,0,1/09/2022,23,207,161,46,322,230,3,42,4,0,3,0,0,0,0,0
3518,1983,1,0,21/02/2021,230,23,414,230,92,161,3,63,2,2,2,0,0,0,0,0
5823,1970,0,1,25/05/2022,805,0,46,0,0,46,6,35,2,0,4,0,0,0,0,0
3934,1966,0,1,19/10/2021,8188,0,2461,437,207,2691,6,35,14,2,8,0,0,0,0,0
6982,1976,0,0,5/06/2021,18009,690,12351,3220,1748,345,3,14,8,20,9,0,0,0,0,0
6431,1964,1,1,12/05/2021,966,23,414,69,0,92,6,49,4,0,3,0,0,0,0,0
1324,1988,1,0,16/08/2021,529,69,483,69,437,506,6,56,6,0,3,0,0,0,0,0
326,1973,1,1,7/05/2021,5405,138,1035,184,207,276,12,42,10,2,6,0,0,0,0,0
7224,1977,1,1,17/03/2022,230,0,230,69,23,161,6,56,2,2,2,0,0,0,0,0
6999,1980,0,0,30/07/2022,15088,368,2438,736,368,184,3,21,14,6,12,0,0,0,0,0
9938,1954,0,0,6/12/2021,11937,391,18699,621,3979,1173,3,14,8,12,6,0,0,0,0,1
6422,1954,0,0,5/04/2021,7912,4347,11086,1150,759,3956,3,14,10,12,5,0,0,0,0,0
3182,1973,1,1,17/06/2022,2208,23,1817,161,23,1817,18,56,10,2,3,0,0,1,0,0
7300,1952,0,1,15/09/2022,10304,92,782,138,92,897,9,35,16,2,7,0,0,0,1,0
10424,1968,0,0,25/02/2022,6095,3174,12719,5152,529,2116,3,7,8,8,9,0,0,0,0,0
8727,1978,0,1,31/12/2021,13501,989,7751,966,2001,1242,9,42,22,12,9,0,0,0,0,0
1030,1965,1,1,3/10/2021,506,0,299,0,0,69,6,49,2,0,3,0,0,0,0,0
624,1984,0,0,27/01/2021,138,92,23,161,46,345,3,42,0,2,2,0,0,1,0,0
5552,1963,1,1,30/07/2021,1863,414,2599,1081,299,483,18,42,8,4,5,0,0,0,0,0
868,1966,0,1,25/08/2022,1242,0,161,0,0,92,3,42,4,0,3,0,0,0,0,0
380,1954,0,1,27/11/2020,26910,1104,7360,966,736,4416,15,56,22,8,9,0,0,1,0,0
6927,1968,1,1,22/12/2020,5152,0,690,0,0,230,24,56,10,2,5,0,0,0,0,0
0,1985,0,0,21/07/2021,5497,230,12742,5842,2001,1242,3,7,6,8,9,0,0,0,0,0
1584,1977,1,0,18/06/2022,3933,161,3933,575,437,2047,18,56,16,2,5,0,0,0,0,0
7264,1978,2,1,29/07/2022,276,0,92,0,0,23,3,56,2,0,2,0,0,0,0,0
6274,1948,0,0,1/02/2022,24748,368,9591,966,1104,368,3,21,16,20,6,0,0,0,1,1
1377,1954,0,1,17/11/2021,4186,92,759,0,0,1518,6,49,8,2,5,0,0,0,0,0
2075,1969,0,0,31/01/2022,8671,230,12420,1840,690,230,3,7,6,10,7,0,0,0,0,0
9076,1980,1,0,24/03/2021,3565,23,575,0,23,69,12,56,8,2,4,0,0,0,0,0
7079,1962,0,1,25/11/2020,20631,529,4761,345,253,2116,15,42,18,12,12,0,0,0,0,0
709,1952,0,1,25/02/2021,18101,460,4692,0,0,2116,9,56,4,4,11,0,0,0,0,0
460,1972,0,0,25/10/2020,18216,1978,17020,1541,1173,391,3,14,6,10,8,0,0,0,0,0
6798,1966,1,1,6/06/2021,5313,161,3151,92,345,897,27,49,10,2,8,0,0,0,0,0
5341,1962,0,1,24/03/2021,22609,1748,4232,4140,3174,621,3,49,12,6,4,0,0,0,0,1
9617,1951,0,0,3/07/2022,0,92,115,138,0,92,3,21,2,0,3,0,0,0,0,0
3233,1965,0,1,9/06/2021,12926,483,10672,644,230,736,9,35,14,16,11,0,0,0,0,0
89,1975,1,0,25/02/2022,115,207,460,138,184,483,6,42,4,0,4,0,0,0,0,0
9449,1958,0,1,21/12/2021,9545,115,2852,345,805,253,3,21,10,4,11,0,0,0,0,0
7297,1973,1,0,14/03/2022,115,69,230,276,161,460,12,49,6,2,3,0,0,0,0,0
313,1968,0,0,14/01/2022,20723,1403,17411,4278,3749,460,3,21,12,10,10,0,0,0,1,0
10735,1971,1,0,17/10/2021,322,23,161,46,23,23,3,63,4,0,2,0,0,0,0,0
9529,1990,0,0,14/02/2022,12857,3519,11569,5014,299,4163,3,14,6,18,9,0,1,0,0,0
6439,1958,0,1,3/11/2020,18147,0,3059,0,644,3496,21,49,22,10,8,0,0,0,0,0
7411,1964,1,1,22/08/2022,253,0,115,0,0,23,6,42,2,0,3,0,0,0,0,0
2176,1972,1,0,6/08/2021,28014,368,6256,2392,0,1840,6,42,10,6,6,0,1,0,1,1
9265,1953,0,1,28/03/2021,21275,1472,4117,3059,276,1771,6,35,18,8,6,0,0,0,0,0
8867,1988,0,0,17/11/2020,19872,3082,17664,3450,874,3956,3,21,8,20,5,0,0,0,0,0
10236,1975,1,0,3/12/2021,368,69,575,138,23,299,6,56,4,0,3,0,0,0,0,0
6340,1985,1,0,13/01/2022,69,69,161,0,46,253,6,42,2,0,3,0,0,0,0,0
10089,1974,0,0,22/06/2021,3864,3404,10212,736,3956,3404,3,14,12,18,13,1,1,0,1,1
5304,1974,1,0,30/12/2020,552,0,184,0,0,23,6,42,2,0,3,0,0,0,0,0
3406,1964,0,1,8/01/2021,3174,759,2001,644,552,276,12,21,6,4,7,0,0,0,0,0
2661,1964,1,1,21/08/2021,276,92,46,230,138,230,12,35,4,0,4,0,0,0,0,0
3153,1957,2,1,24/02/2022,253,0,92,0,0,46,3,56,2,0,2,0,0,0,0,0
10264,1979,1,0,27/12/2020,23,46,184,92,69,299,6,49,2,2,2,0,0,1,0,0
1184,1968,0,2,8/08/2021,12742,943,4945,253,0,552,9,35,20,4,10,0,0,0,0,0
4200,1970,1,0,3/09/2022,3841,46,1426,552,299,161,12,35,8,2,6,0,0,0,0,0
9396,1978,1,0,9/02/2021,207,0,138,92,23,115,3,63,2,0,2,0,0,0,0,0
6690,1966,1,1,31/05/2021,874,92,506,92,46,460,12,49,6,2,3,0,0,0,0,0
1225,1963,0,0,12/09/2022,11109,1932,9154,4715,1932,5543,3,7,6,14,8,0,0,1,0,0
9703,1970,1,1,1/01/2021,1771,46,805,0,23,1587,12,49,6,4,2,0,0,1,0,0
291,1970,0,0,5/09/2021,4186,1702,6854,3726,3427,2668,3,7,6,6,6,0,0,0,0,0
2379,1953,0,0,9/12/2020,17894,1012,11477,2185,1679,3358,6,49,6,8,5,0,0,0,0,0
5726,1983,1,0,6/06/2022,368,161,529,0,184,138,9,35,6,0,4,0,0,0,0,0
6336,1960,1,1,23/06/2022,299,46,322,184,161,92,12,42,4,0,4,0,0,0,0,0
10967,1963,1,1,25/04/2021,759,138,920,69,161,230,9,49,4,0,4,0,0,0,0,0
3445,1956,0,0,5/04/2021,4968,3726,5152,2323,2116,3726,6,35,14,8,10,0,0,0,0,0
3762,1986,0,0,19/06/2021,4508,0,11776,759,2990,1242,3,7,6,10,8,0,1,0,0,0
4391,1968,0,1,8/07/2021,14605,345,2300,460,161,3013,3,42,18,6,9,0,0,0,0,0
4669,1981,1,0,30/04/2021,92,437,207,644,575,391,9,49,6,0,4,0,0,0,0,0
8962,1975,1,1,4/07/2022,598,0,184,0,0,69,6,35,4,0,3,0,0,0,0,0
9974,1974,1,0,28/09/2021,345,138,460,92,115,460,3,49,6,2,2,0,0,0,0,0
10102,1966,0,0,29/07/2022,9085,4209,12995,3818,3243,644,3,21,10,22,5,0,0,0,0,0
4697,1949,0,0,30/08/2021,5704,69,1863,92,69,1173,9,56,14,2,5,0,0,0,0,0
4543,1980,0,0,17/01/2021,17871,2967,13179,4968,483,4669,3,28,4,14,9,0,0,0,0,1
2874,1988,1,0,24/05/2021,138,92,161,92,69,184,3,49,2,0,3,0,0,0,0,0
7119,1982,0,0,31/03/2021,9085,345,6049,1380,1242,874,3,7,4,6,6,0,0,0,0,0
3924,1965,0,1,3/06/2022,18423,0,1840,0,0,805,15,35,16,6,12,0,0,0,1,0
5827,1958,1,1,3/07/2022,828,0,276,46,46,230,12,35,6,2,3,0,0,0,0,0
10812,1978,1,0,18/05/2022,851,0,1058,92,69,0,3,28,4,2,3,0,0,0,0,0
1717,1988,1,0,30/06/2022,1840,345,2139,460,299,1196,9,56,10,2,4,0,0,0,0,0
9274,1961,0,0,14/06/2021,12075,3381,2576,5037,3381,1449,3,14,12,14,9,0,1,0,0,0
6609,1966,0,0,5/12/2020,23,598,575,391,529,345,3,63,6,0,3,0,0,0,0,0
6963,1947,0,0,22/05/2022,15525,253,9200,345,1035,253,3,7,4,10,10,0,0,0,0,1
4440,1964,0,1,27/11/2021,11707,0,621,0,0,230,3,49,16,6,6,0,0,0,1,0
10032,1976,1,0,6/04/2022,69,115,322,46,276,391,12,42,6,2,3,0,0,0,0,0
2826,1967,2,1,14/01/2022,575,0,184,46,0,46,6,49,4,0,3,0,0,0,0,0
6320,1976,0,0,25/04/2021,17664,1012,12903,1771,1012,322,3,21,12,12,10,0,0,0,0,0
3050,1966,1,1,5/03/2022,4255,0,644,69,46,391,18,28,6,2,6,0,0,0,0,0
2392,1972,1,1,15/10/2021,1012,92,483,138,0,621,6,49,6,0,3,0,0,0,0,0
9478,1985,1,0,31/10/2020,2093,1472,2944,1495,69,1150,6,21,8,6,6,0,0,0,0,0
113,1951,1,1,2/10/2021,253,0,161,69,23,138,6,35,2,0,3,0,0,0,0,0
1802,1971,0,1,5/04/2021,9476,115,2737,874,667,1771,9,14,6,6,12,0,0,0,0,0
520,1974,1,0,17/09/2021,69,69,161,138,46,207,3,49,2,0,2,0,0,0,0,0
8275,1965,1,1,28/04/2022,368,0,69,0,0,23,3,49,2,0,2,0,0,0,0,0
9750,1961,0,1,26/04/2021,16813,1380,8119,1794,276,1679,15,49,20,6,5,0,0,0,0,0
2607,1953,0,1,30/03/2021,9752,391,2714,161,529,943,18,56,16,4,8,0,0,0,0,0
7214,1957,0,0,21/09/2021,18216,0,6325,1035,1035,2898,3,21,8,16,5,0,0,0,0,0
5835,1976,1,0,18/09/2021,483,46,644,69,46,207,9,56,4,0,4,0,0,0,0,0
3896,1984,1,0,24/01/2022,506,23,253,0,23,46,3,49,2,0,3,0,0,0,0,0
10350,1950,2,1,26/07/2021,759,0,115,0,0,0,3,28,2,0,3,0,0,0,0,0
7786,1986,1,0,2/05/2021,1564,161,1357,230,115,253,12,56,6,2,4,0,0,0,0,0
2861,1983,1,0,3/07/2021,207,23,138,69,0,92,3,56,2,0,2,0,0,0,0,0
663,1989,0,0,28/11/2021,920,46,345,184,0,138,3,28,2,2,3,0,0,0,0,0
10675,1956,0,1,20/06/2021,20907,253,5014,0,0,529,6,35,18,6,5,0,0,0,0,0
2521,1971,1,0,29/03/2021,529,23,299,46,46,414,3,49,2,2,2,0,0,1,0,0
10151,1960,0,2,29/11/2020,7291,1058,5681,3473,1058,3197,3,21,8,10,12,0,0,0,0,0
7381,1968,0,0,22/02/2021,18331,3519,6739,1656,2231,690,3,28,22,8,6,0,1,0,1,1
4099,1972,1,0,29/01/2021,230,46,368,253,46,483,3,56,2,0,3,0,0,0,0,0
10172,1988,0,0,27/10/2020,10488,437,19136,1725,2714,874,3,21,8,10,11,0,0,0,0,0
11191,1986,0,0,23/02/2022,851,736,874,253,69,414,3,42,4,2,4,0,0,0,0,0
9707,1969,0,1,9/02/2021,25369,0,1035,0,0,782,9,56,8,4,11,1,0,0,1,0
1411,1952,0,0,27/01/2022,4692,782,4692,3956,3519,3979,3,7,4,18,4,0,0,0,0,0
8553,1965,1,1,9/09/2021,690,0,207,0,0,69,6,42,2,0,3,0,0,0,0,0
1826,1970,0,0,2/09/2022,4347,2392,8717,2553,4347,5014,3,7,8,8,6,0,0,0,0,0
8842,1971,1,1,13/03/2021,345,0,276,161,69,161,9,49,4,0,3,0,0,0,0,0
11030,1976,1,0,22/03/2022,207,0,69,0,0,92,3,42,2,0,2,0,0,1,0,0
2579,1957,0,1,5/03/2022,11385,759,5865,253,759,184,12,28,12,14,9,0,0,0,0,0
175,1986,1,0,29/03/2021,15088,1840,10465,1196,2461,2139,6,28,16,8,8,0,0,1,0,1
9185,1966,0,0,14/01/2022,10396,460,11822,299,690,0,9,21,8,12,5,0,0,0,0,0
11056,1974,0,0,13/01/2021,12558,2093,9430,2737,0,506,3,7,6,8,10,0,0,0,0,0
9365,1976,0,1,10/03/2021,24104,0,4991,0,0,276,15,42,22,6,5,0,0,0,0,0
6201,1978,1,1,15/02/2022,506,46,322,0,23,230,6,49,4,0,3,0,0,0,0,0
2061,1955,0,1,28/07/2021,1794,0,253,0,0,230,3,42,4,0,4,0,0,0,1,0
6184,1969,0,0,28/02/2021,12903,1472,18055,1932,2944,1104,3,7,6,6,8,0,0,0,0,0
6142,1943,0,0,6/11/2021,14467,391,4071,1587,0,184,3,14,10,6,5,0,0,0,0,0
7274,1957,0,0,15/12/2020,16928,3749,18814,4876,3749,1403,3,14,8,14,10,0,0,0,1,0
9336,1969,0,1,8/06/2022,11776,0,1909,0,0,943,9,28,12,4,10,0,0,0,0,0
2958,1978,2,0,13/05/2022,437,69,230,253,184,138,9,28,4,2,4,0,0,0,0,0
933,1978,1,0,9/02/2021,207,0,138,92,23,115,3,63,2,0,2,0,0,0,0,0
5837,1967,1,1,16/03/2021,5681,184,3680,138,184,1495,21,49,12,6,6,0,0,0,0,0
10704,1969,0,1,7/11/2020,9292,0,2116,644,621,3266,6,28,12,4,9,0,0,0,0,0
5125,1960,0,0,3/08/2021,7659,0,18745,2967,966,667,3,14,8,20,11,0,0,0,0,0
4432,1976,1,0,2/06/2021,46,69,460,138,253,207,6,49,4,0,3,0,0,0,0,0
2928,1975,0,1,17/02/2021,18147,0,3266,276,207,874,6,56,4,8,8,0,0,0,0,0
5680,1984,1,0,9/07/2022,230,92,161,0,138,69,3,42,2,0,3,0,0,0,0,0
10313,1975,1,1,14/01/2021,3657,92,1035,138,46,874,18,56,10,2,4,0,0,0,0,0
